Movie_Id,release_year,title,original,listed_in,imdbbis5
162,2019,The Hockey Girls,0.0,"International TV Shows, TV Comedies, TV Dramas",3.45
163,2018,Travel Mates 2,0.0,"Comedies, International Movies",2.95
164,2019,True: Tricky Treat Day,0.0,Children & Family Movies,0.0
165,2019,Two Sentence Horror Stories,0.0,"TV Horror, Teen TV Shows",2.7
166,2016,Mad World,0.0,"Dramas, International Movies",0.0
167,2014,Mobile Suit Gundam UC,0.0,"Anime Series, International TV Shows",3.95
168,1983,The Bund,0.0,"Action & Adventure, Dramas, International Movies",0.0
169,2014,The First Line,0.0,"Dramas, Independent Movies",2.55
170,2017,Maynard,0.0,Documentaries,0.0
171,2018,Monkey Twins,0.0,"Crime TV Shows, International TV Shows, TV Action & Adventure",3.8
172,2016,Bitcoin Heist,0.0,"Action & Adventure, Comedies, International Movies",2.9
173,2016,I Am Not Madame Bovary,0.0,"Comedies, Dramas, International Movies",3.45
174,2016,Vincent N Roxxy,0.0,"Dramas, Thrillers",2.75
175,2016,Chef's Table: France,1.0,Docuseries,4.15
176,2016,Kulipari: An Army of Frogs,0.0,Kids' TV,3.45
177,2014,Miss Julie,0.0,"Dramas, International Movies",2.7
178,2019,Kabir Singh,0.0,"Dramas, International Movies, Romantic Movies",3.55
179,2009,Océans,0.0,"Documentaries, International Movies",3.9
180,2017,The Endless,0.0,"Independent Movies, Sci-Fi & Fantasy, Thrillers",3.25
181,2016,Transformers: Rescue Bots,0.0,Kids' TV,3.25
182,2017,Jerry Before Seinfeld,0.0,Stand-Up Comedy,3.5
183,2017,Manhunt,1.0,"Crime TV Shows, TV Dramas, TV Mysteries",4.05
184,2016,"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",0.0,Stand-Up Comedy,0.0
185,2016,"Katarzyna Piasecka, Rafał Pacześ Seriously Funny",0.0,Stand-Up Comedy,0.0
186,2016,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",0.0,Stand-Up Comedy,0.0
187,2016,"Rafał Banaś, Michał Leja Laugh out Loud",0.0,Stand-Up Comedy,0.0
188,2016,The Best of Rafał Rutkowski Olka Szczęśniak,0.0,Stand-Up Comedy,0.0
189,2016,"Tomasz Jachimek, Jacek Stramik Laugh at Live",0.0,Stand-Up Comedy,0.0
190,2016,Come and Find Me,0.0,"Dramas, Thrillers",2.85
191,2019,When the Camellia Blooms,0.0,"International TV Shows, Korean TV Shows, Romantic TV Shows",4.0
192,2018,Class Rank,0.0,Comedies,0.0
193,2017,Barbie Dolphin Magic,0.0,Children & Family Movies,2.85
194,2011,Forget Me Not,0.0,"International TV Shows, TV Dramas",2.6
195,2012,The Beat,0.0,"International TV Shows, TV Dramas",3.15
196,2009,Timeless Season,0.0,"International TV Shows, TV Dramas",0.0
197,2015,Keith Richards: Under the Influence,1.0,"Documentaries, Music & Musicals",3.6
198,2019,A Haunting at Silver Falls: The Return,0.0,"Horror Movies, Independent Movies",1.6
199,2010,Ancient Aliens,0.0,"Docuseries, Science & Nature TV",3.65
200,2019,Avengement,0.0,Action & Adventure,3.25
201,2017,Clive Davis: The Soundtrack of Our Lives,0.0,"Documentaries, Music & Musicals",3.7
202,1982,Five Elements Ninjas,0.0,"Action & Adventure, International Movies",3.7
203,2012,Sebastian Maniscalco: What's Wrong with People?,0.0,Stand-Up Comedy,4.05
